Landmark	['1951.482', '101.011', '5462.614', 280]
Pet Supplies	['3185.667', '39.333', 0, 3]
Food	['7134.911', '35.224', '1036.534', 8154]
Health	['2094.552', '163.858', '704.639', 2014]
Arts	['5036.913', '168.362', '7973.722', 1346]
Education	['1528.694', '58.052', '499.721', 718]
Utility	['361.444', '30.556', '1576.889', 9]
Kids Goods	['435.800', '4.800', 0, 5]
Farming	['1197.664', '54.790', '577.630', 119]
Bar	['2383.858', '63.536', '4074.611', 211]
Transport	['5457.435', '598.304', '17227.986', 69]
Pharmacy	['2094.552', '163.858', '704.639', 2014]
Toys	['337.000', '11.333', 0, 3]
Movie Theater	['16416.074', '807.741', '77687.741', 27]
Website	['55251.143', '595.571', 0, 7]
Travel Website	['3378.846', '24.769', 0, 13]
Sightseeing	['3350.372', '177.873', '9880.887', 1861]
Vitamins	['1296.000', '129.000', 0, 3]
Garden	['930.333', '13.000', '151.667', 3]
Retail	['5549.659', '155.562', '6532.694', 3097]
Spas	['1645.288', '89.997', '304.744', 4156]
Middle School	['294.750', '61.750', '155.000', 4]
Public Figure	['248180.125', '31595.375', 0, 8]
Politician	['399675.000', '7709.000', 0, 2]
Musician	['165825.727', '6346.242', 0, 33]
